MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
"TB8427728","For Sale","$315,000","9110 RAINBOW Lane","Port Richey","Single Family Residence",3,2,"1,712 sqft","0.13 acres","$184","","- -"
"W7881360","For Sale","$225,000","9867 JEROME Drive","New Port Richey","Manufactured Home",4,2,"2,006 sqft","0.62 acres","$112","","- -"
"W7876679","For Sale","$260,000","12419 LAMONT Avenue","New Port Richey","Single Family Residence",3,2,"1,200 sqft","0.18 acres","$217","","- -"
"TB8455755","For Sale","$365,000","7825 GLASCOW Drive","New Port Richey","Single Family Residence",3,2,"1,594 sqft","0.15 acres","$229","","- -"
"W7880371","For Sale","$299,000","11633 FOX Run","Port Richey","Single Family Residence",3,2,"2,228 sqft","0.20 acres","$134","","- -"
"W7878998","For Sale","$319,900","6812 HILLS Drive","New Port Richey","Single Family Residence",3,2,"1,436 sqft","0.17 acres","$223","","- -"
"O6344046","For Sale","$179,900","4201 WIGGINS Drive","New Port Richey","Single Family Residence",3,2,"1,246 sqft","0.14 acres","$144","","- -"
"TB8454870","For Sale","$249,998","7825 BIRCHWOOD Drive","Port Richey","Single Family Residence",3,2,"1,394 sqft","0.12 acres","$179","","- -"
"TB8454658","For Sale","$269,900","7321 MAYFIELD Drive","Port Richey","Single Family Residence",4,2,"1,472 sqft","0.12 acres","$183","","- -"
"TB8453599","For Sale","$345,000","6431 TAYLOR Court","New Port Richey","Single Family Residence",3,2,"1,471 sqft","0.17 acres","$235","","- -"
"TB8438099","For Sale","$222,900","5301 DAWN Lane","Holiday","Single Family Residence",3,2,"1,154 sqft","0.12 acres","$193","","- -"
"TB8451894","For Sale","$300,000","3322 FAIRMOUNT Drive","Holiday","Single Family Residence",3,2,"1,558 sqft","0.12 acres","$193","","- -"
"W7878420","For Sale","$319,000","8977 LAKE Drive","New Port Richey","Single Family Residence",3,2,"1,986 sqft","0.23 acres","$161","","- -"
"W7881185","For Sale","$385,997","6031 POLK Street","New Port Richey","Single Family Residence",3,2,"1,374 sqft","0.17 acres","$281","","- -"
"W7879422","For Sale","$265,000","4936 MILE STRETCH Drive","Holiday","Single Family Residence",3,2,"1,244 sqft","0.15 acres","$213","","- -"
"TB8436690","For Sale","$284,500","3707 PINEHURST Drive","Holiday","Single Family Residence",3,2,"1,534 sqft","0.15 acres","$185","","- -"
"W7875596","For Sale","$240,000","7535 CHRISTINA Lane","Port Richey","Single Family Residence",4,2,"1,506 sqft","0.13 acres","$159","","- -"
"W7871410","For Sale","$375,000","5742 MEADOWLANE Street","New Port Richey","Single Family Residence",3,3,"1,702 sqft","0.11 acres","$220","","- -"
"S5125352","For Sale","$255,000","10336 OAK HILL Drive","Port Richey","Single Family Residence",3,2,"1,096 sqft","0.15 acres","$233","","- -"
"TB8452195","For Sale","$299,999","9006 LUNAR Lane","Port Richey","Single Family Residence",3,2,"1,260 sqft","0.13 acres","$238","","- -"
"TB8451708","For Sale","$289,900","4151 OAKFIELD Avenue","Holiday","Single Family Residence",3,2,"1,093 sqft","0.13 acres","$265","","- -"
"TB8433012","For Sale","$309,000","9001 LIDO Lane","Port Richey","Single Family Residence",3,2,"1,700 sqft","0.14 acres","$182","","- -"
"TB8412598","For Sale","$259,000","7148 RAMOR Lane","New Port Richey","Single Family Residence",3,2,"1,173 sqft","0.14 acres","$221","","- -"
"W7880982","For Sale","$330,000","8031 GABRIEL Drive","Port Richey","Single Family Residence",3,2,"1,408 sqft","0.15 acres","$234","","- -"
"TB8434153","For Sale","$285,000","5253 DEVRIES Drive","New Port Richey","Single Family Residence",3,2,"1,128 sqft","0.12 acres","$253","","- -"
"TB8450283","For Sale","$324,900","2527 OHIO Place","Holiday","Single Family Residence",4,3,"1,827 sqft","0.17 acres","$178","","- -"
"TB8450006","For Sale","$295,000","1248 BRIGHTWELL Drive","Holiday","Single Family Residence",3,2,"1,280 sqft","0.13 acres","$230","","- -"
"TB8422612","For Sale","$276,900","5200 DOVE Drive","New Port Richey","Single Family Residence",3,2,"1,063 sqft","0.12 acres","$260","","- -"
"TB8431322","For Sale","$225,000","3426 KIMBERLY OAKS Drive","Holiday","Single Family Residence",3,2,"1,018 sqft","0.12 acres","$221","","- -"
"TB8441749","For Sale","$334,999","- -","New Port Richey","Single Family Residence",3,2,"1,354 sqft","0.11 acres","$247","","- -"
"TB8449325","For Sale","$269,900","4335 LAS VEGAS Drive","New Port Richey","Single Family Residence",3,2,"1,300 sqft","0.11 acres","$208","","- -"
"TB8449310","For Sale","$265,000","3624 CANTRELL Street","New Port Richey","Single Family Residence",3,2,"997 sqft","0.12 acres","$266","","- -"
"TB8423703","For Sale","$249,900","3048 HOLIDAY LAKE Drive","Holiday","Single Family Residence",3,2,"1,504 sqft","0.13 acres","$166","","- -"
"TB8418349","For Sale","$298,500","10131 FIELD Street","New Port Richey","Single Family Residence",3,2,"1,356 sqft","0.18 acres","$220","","- -"
"W7876989","For Sale","$334,900","8122 MATTHEW Drive","New Port Richey","Single Family Residence",3,2,"1,534 sqft","0.14 acres","$218","","- -"
"W7880681","For Sale","$329,900","7353 BANNER Street","New Port Richey","Single Family Residence",4,2,"1,858 sqft","0.18 acres","$178","","- -"
"TB8446759","For Sale","$257,000","5117 SCHOOL Road","New Port Richey","Single Family Residence",3,2,"1,454 sqft","0.13 acres","$177","","- -"
"S5138036","For Sale","$299,000","11524 NEWELL Drive","Port Richey","Single Family Residence",3,2,"1,128 sqft","0.12 acres","$265","","- -"
"TB8421357","For Sale","$285,000","9830 MARK TWAIN Lane","Port Richey","Single Family Residence",3,2,"1,602 sqft","0.13 acres","$178","","- -"
"W7880462","For Sale","$399,000","6920 WASHINGTON Street","New Port Richey","Single Family Residence",3,2,"1,560 sqft","0.14 acres","$256","","- -"
"TB8395701","For Sale","$270,000","10219 HUNTLEY Street","New Port Richey","Single Family Residence",3,2,"1,200 sqft","0.18 acres","$225","","- -"
"TB8358490","For Sale","$275,000","10113 HUNTLEY Street","New Port Richey","Single Family Residence",3,2,"1,200 sqft","0.36 acres","$229","","- -"
"TB8412382","For Sale","$252,000","9643 MARLINTON Lane","Port Richey","Single Family Residence",3,2,"1,174 sqft","0.12 acres","$215","","- -"
"TB8421578","For Sale","$194,900","7421 NOVA SCOTIA Drive","Port Richey","Single Family Residence",3,2,"1,217 sqft","0.12 acres","$160","","- -"
"TB8443441","For Sale","$245,000","8012 EMBASSY Boulevard","Port Richey","Single Family Residence",3,2,"1,365 sqft","0.14 acres","$179","","- -"
"W7879693","For Sale","$365,000","5801 VIRGINIA Avenue","New Port Richey","Single Family Residence",4,3,"1,852 sqft","0.18 acres","$197","","- -"
"TB8410090","For Sale","$300,000","7624 LAKE FOREST Circle","Port Richey","Single Family Residence",3,2,"1,845 sqft","0.16 acres","$163","","- -"
"TB8415579","For Sale","$215,000","7236 SAN CARLOS Drive","Port Richey","Single Family Residence",3,2,"1,239 sqft","0.12 acres","$174","","- -"
"TB8441773","For Sale","$265,000","6318 RIDGE CREST Drive","Port Richey","Single Family Residence",3,2,"1,191 sqft","0.14 acres","$223","","- -"
"TB8442196","For Sale","$299,900","12845 CASA BIANCA Avenue","New Port Richey","Manufactured Home",3,3,"1,890 sqft","0.75 acres","$159","","- -"
"TB8432060","For Sale","$349,900","9541 TOWANDA Lane","Port Richey","Single Family Residence",3,2,"1,565 sqft","0.22 acres","$224","","- -"
"O6266226","For Sale","$215,000","11615 MEADOW Drive","Port Richey","Single Family Residence",3,2,"1,296 sqft","0.13 acres","$166","","- -"
"W7872077","For Sale","$368,000","7240 DOGLEG Court","Port Richey","Single Family Residence",3,3,"1,765 sqft","0.22 acres","$208","","- -"
